64 3
13 0 0 
14 1 15 
15 2 30 
16 3 46 
18 5 61 
19 6 76 
20 7 92 
22 9 107 
23 10 122 
24 12 135 
24 15 147 
25 17 159 
25 19 171 
25 22 180 
25 25 190 
25 29 199 
24 32 208 
24 35 217 
24 38 226 
24 41 235 
24 45 244 
23 44 244 
23 44 244 
22 43 244 
21 43 243 
21 42 243 
20 42 243 
20 41 243 
19 41 243 
18 40 243 
18 40 243 
17 40 243 
16 40 243 
16 40 244 
14 40 244 
13 40 171 
11 238 76 
9 224 76 
44 210 76 
79 196 76 
113 183 76 
148 169 76 
182 155 76 
182 156 79 
183 156 81 
183 157 83 
183 158 85 
183 158 87 
183 159 89 
183 160 91 
184 160 93 
187 164 100 
190 169 107 
193 173 113 
197 177 120 
197 177 122 
198 178 125 
198 178 127 
199 178 129 
199 178 131 
211 190 150 
225 210 174 
240 229 198 
255 248 222 
