"X";"Y";"Z";"time";"x1";"y1";"z1";"x2";"y2";"z2";"x3";"y3";"z3"
415323.069;5728447.593;531.668;20070611083300188;1504;1985;5652;6857;6936;5238;27;25;32
415369.805;5728448.186;531.604;20070611083301188;1340;1790;5395;6579;7558;4890;20;19;36
415418.489;5728452.284;531.087;20070611083302234;2178;1755;5233;6993;6792;4789;27;24;33
415462.864;5728458.492;530.091;20070611083303195;1571;1859;5245;6555;7323;5335;18;22;34
415509.506;5728468.697;528.698;20070611083304219;1561;2156;5544;6769;6944;4708;26;22;33
415553.255;5728481.548;527.781;20070611083305195;1841;2000;5412;7110;6794;5270;19;23;28
415599.368;5728496.507;527.456;20070611083306234;2668;2157;5247;7160;6840;4992;26;30;36
415641.298;5728510.095;527.208;20070611083307180;2584;2137;5123;7000;6637;4399;28;22;31
415686.569;5728524.170;526.763;20070611083308195;2726;2145;5124;7671;6233;5309;23;27;34
415731.837;5728537.323;526.147;20070611083309203;2826;2302;5266;8064;6750;4937;23;28;26
415776.094;5728549.105;525.405;20070611083310180;2778;2322;5243;7916;6542;5123;24;28;30
415823.293;5728560.317;524.699;20070611083311211;3193;2158;5281;7291;7141;5063;31;22;30
415868.740;5728569.701;524.310;20070611083312195;3463;2234;5314;7944;7231;5132;27;31;28
415913.799;5728577.286;524.232;20070611083313164;3793;2445;5246;8583;6651;4576;24;28;34
415961.680;5728582.801;524.397;20070611083314188;3184;2225;5289;7384;6692;4906;29;22;37
416007.889;5728585.907;524.592;20070611083315172;2608;1928;5086;7636;6981;4561;22;23;29
416056.356;5728588.043;524.580;20070611083316203;2719;2000;5125;7767;7660;4763;24;23;33
416102.281;5728589.633;524.256;20070611083317180;2673;2181;5159;7318;7021;4750;22;22;24
416148.269;5728590.834;523.920;20070611083318156;2626;2000;5095;7682;6861;5147;23;30;30
416196.536;5728591.527;523.404;20070611083319180;2544;1975;5214;7348;6739;4799;25;21;32
416243.762;5728592.040;522.735;20070611083320180;2117;2055;5158;6996;7096;4867;22;27;33
416289.979;5728592.815;522.019;20070611083321156;1737;2208;5263;7415;7188;4445;24;25;30
416339.232;5728593.925;521.295;20070611083322195;1965;2016;5227;5961;6938;5188;26;28;28
416384.878;5728594.969;520.696;20070611083323156;3078;2064;5200;8010;7019;4568;22;22;30
416433.518;5728596.210;520.102;20070611083324180;2186;2170;5333;7139;6760;5163;22;32;29
416482.206;5728597.912;519.492;20070611083325203;1735;2048;5186;7138;7048;4251;23;22;34
416528.319;5728599.945;519.028;20070611083326172;1989;2094;5197;6115;7517;4826;24;22;31
416578.880;5728602.470;518.704;20070611083327234;2096;2153;5267;7372;7181;5239;23;21;28
416625.718;5728604.838;518.351;20070611083328219;2623;2147;5294;7790;6965;5026;23;25;33
416674.417;5728607.121;517.982;20070611083329242;3538;2103;5303;8046;7036;5025;27;28;30
416720.531;5728608.983;517.796;20070611083330211;3636;2079;5332;8097;6579;5177;27;27;28
416769.229;5728610.601;517.811;20070611083331234;3433;2240;5318;7599;5641;4994;21;23;37
416816.033;5728611.707;517.936;20070611083332219;3778;2161;5222;8582;6683;4237;20;20;26
416860.546;5728612.145;518.033;20070611083333156;3698;2204;5184;8288;6638;4883;25;26;33
416909.398;5728611.936;518.195;20070611083334188;3095;1937;5194;7526;7243;5109;26;24;26
416957.814;5728611.382;518.227;20070611083335211;2423;1885;5277;6800;7732;4572;27;20;34
417003.604;5728610.624;518.102;20070611083336180;3495;2240;5266;8103;7212;4268;25;28;35
417051.943;5728609.173;517.898;20070611083337203;3648;2302;5201;8850;6750;4687;21;21;32
417098.033;5728607.152;517.692;20070611083338180;3552;1959;5173;8687;6420;4742;22;26;35
417143.702;5728604.677;517.466;20070611083339148;3447;2126;5329;8463;6753;4904;21;25;28
417191.912;5728601.629;517.239;20070611083340172;3077;2025;5171;8216;6871;5097;28;30;30
417237.840;5728598.244;517.071;20070611083341148;3638;2109;5158;8182;6846;4916;25;24;38
417287.010;5728593.949;516.852;20070611083342195;3669;2076;5140;9115;7359;4942;25;22;34
417332.812;5728589.413;516.613;20070611083343172;3820;2216;5272;8778;7458;4911;30;22;30
417380.388;5728584.266;516.347;20070611083344188;3367;2080;5214;7703;6848;4751;22;21;29
417428.646;5728578.719;515.978;20070611083345219;3029;1990;5200;7940;6540;5185;29;24;32
417473.265;5728573.675;515.607;20070611083346172;1994;1970;5068;6003;7199;4684;20;20;33
417520.511;5728568.968;515.148;20070611083347180;1877;2133;5165;7096;6406;4975;24;20;31
417566.328;5728564.765;514.680;20070611083348156;2628;2093;5266;7628;7280;5389;27;25;30
417614.359;5728560.520;514.302;20070611083349180;2787;2004;5273;7864;7670;4701;22;23;28
417659.853;5728556.618;513.962;20070611083350148;2412;2117;5197;6842;6679;4767;22;26;35
417707.908;5728552.692;513.549;20070611083351172;2119;2187;5131;6637;6139;5102;23;25;27
417755.599;5728549.409;513.233;20070611083352188;1724;2234;5271;6497;6622;5214;22;28;34
417804.060;5728546.728;512.862;20070611083353219;2177;2137;5225;7194;6921;4919;24;23;30
417849.579;5728544.531;512.562;20070611083354188;2379;2152;5222;7376;7683;4655;18;22;33
417896.160;5728542.779;512.357;20070611083355180;1846;2340;5169;6986;7012;4436;22;22;29
417943.843;5728542.047;512.038;20070611083356195;1521;2448;5278;6931;7199;4943;19;28;28
417991.509;5728542.015;511.666;20070611083357211;2247;2122;5240;7510;6829;4717;23;21;32
418036.612;5728542.111;511.429;20070611083358172;2925;1921;5102;7617;6880;5041;20;23;30
418084.990;5728542.379;511.182;20070611083359203;2193;2038;5179;7433;7600;4554;26;27;28
418130.806;5728543.353;510.937;20070611083400180;1854;2402;5371;7447;7035;4771;22;21;27
418178.757;5728545.108;510.886;20070611083401203;2216;2241;5171;7521;7137;4852;20;25;29
418224.059;5728546.898;510.971;20070611083402172;2783;1964;5236;8110;6850;4943;27;29;36
418271.494;5728548.744;511.090;20070611083403188;2395;1923;5304;6888;6580;4868;29;22;30
418319.590;5728550.798;511.147;20070611083404219;2328;2178;5151;7346;6835;4795;22;30;30
418364.701;5728552.951;511.149;20070611083405188;2319;2123;5130;6616;6772;4839;24;21;31
418412.322;5728555.473;511.148;20070611083406211;2567;2187;5242;7783;6836;4437;31;28;32
418459.193;5728558.220;511.097;20070611083407219;2667;2243;5314;7748;7078;4985;27;22;31
418504.571;5728561.135;511.121;20070611083408195;2389;2139;5180;7368;7595;4945;25;20;29
418551.634;5728564.441;511.445;20070611083409211;2821;2126;5382;7882;6721;4606;26;25;33
418598.908;5728568.044;512.027;20070611083410234;2541;2082;5214;7390;7393;4620;26;28;32
418643.505;5728571.690;512.603;20070611083411203;2357;2048;5107;7390;7031;4753;25;27;28
418690.477;5728575.794;513.147;20070611083412227;2238;2194;5232;7466;7676;4896;23;21;27
418734.493;5728579.814;513.577;20070611083413188;2403;2145;5267;7505;6863;4686;29;22;32
418826.632;5728588.263;514.192;20070611083415203;2465;1939;5316;7195;5692;4520;24;26;31
418873.423;5728592.405;514.170;20070611083416227;2380;1954;5167;8174;5869;5009;22;21;32
418918.151;5728596.262;513.948;20070611083417203;2471;2015;5283;7268;6902;4857;26;24;30
418965.136;5728600.217;513.665;20070611083418227;2656;2124;5283;7883;6580;5149;30;26;27
419010.051;5728603.936;513.383;20070611083419203;2625;2116;5213;7895;7121;4951;25;23;29
419057.273;5728607.686;512.956;20070611083420227;3305;2080;5393;8375;6676;4894;23;23;34
419102.465;5728610.842;512.416;20070611083421203;3252;2063;5394;7528;6596;4116;24;28;28
419150.001;5728613.685;511.883;20070611083422227;3302;1986;5323;8600;6918;4904;30;25;30
419195.130;5728616.192;511.455;20070611083423195;3160;1995;5333;7837;6259;5082;24;28;33
419241.456;5728618.691;511.051;20070611083424188;3406;2113;5314;7480;6920;4285;21;26;34
419289.703;5728621.099;510.662;20070611083425219;4265;2208;5404;8514;7251;4549;27;23;29
419335.020;5728622.822;510.538;20070611083426188;2967;2008;5270;7433;6503;5422;22;26;28
419381.966;5728623.714;511.147;20070611083427195;3145;2056;5137;7781;6766;4656;23;21;30
419430.458;5728623.290;510.519;20070611083428219;3451;2087;5216;7443;5878;4670;35;29;32
419475.725;5728622.361;511.159;20070611083429188;3450;2129;5137;7862;7121;4940;26;23;28
419523.792;5728620.513;511.747;20070611083430219;2812;2091;5165;7000;7099;4890;25;27;35
419568.846;5728617.934;512.146;20070611083431188;2758;2072;5165;7581;6022;5392;25;21;32
419614.866;5728614.246;512.437;20070611083432180;2869;2055;5097;7952;7081;5132;26;24;26
419662.948;5728609.443;512.556;20070611083433219;3494;2060;5277;7961;5942;4956;23;22;30
419707.364;5728604.488;512.543;20070611083434180;3251;1919;5052;8131;7961;4567;25;23;30
419754.304;5728598.848;512.484;20070611083435195;3457;2214;5294;7751;6980;4529;23;25;35
419799.065;5728593.071;512.493;20070611083436164;3760;2163;5145;8559;6625;4557;25;26;27
419845.509;5728586.603;512.827;20070611083437172;3088;1953;5075;8005;6587;5318;25;27;29
419889.975;5728579.959;513.377;20070611083438141;3275;1972;5027;8233;6964;5087;23;23;29
419937.820;5728572.364;514.123;20070611083439188;3037;2036;5020;8109;8111;5084;29;25;36
419981.917;5728565.070;514.808;20070611083440156;2304;2011;5036;7594;6899;4996;24;26;28
420028.357;5728557.652;515.410;20070611083441180;1756;2123;4993;8000;6975;4913;15;24;29
420073.403;5728551.497;515.833;20070611083442172;1648;2372;5313;7110;7235;5748;30;24;30
420119.923;5728546.155;515.999;20070611083443195;1693;2121;5172;7200;7465;4824;22;26;28
420164.005;5728542.007;516.213;20070611083444164;1605;2339;5304;6519;7365;4863;23;23;37
