"X";"Y";"Z";"time";"x1";"y1";"z1";"x2";"y2";"z2";"x3";"y3";"z3"
415338.956;5725094.509;525.613;20070611080359203;2649;2287;4817;8542;7566;5516;26;25;25
415381.063;5725092.499;525.752;20070611080358188;2661;2130;4854;8059;6919;5056;28;26;28
415421.194;5725090.368;525.524;20070611080357219;2993;2410;4756;8034;7967;4972;23;23;30
415463.260;5725088.014;525.042;20070611080356203;2773;2403;4695;7525;6906;5156;26;19;30
415503.110;5725085.695;524.523;20070611080355242;2706;2411;4860;7535;6494;4926;21;25;25
415545.617;5725083.126;523.880;20070611080354219;2612;2377;4844;7824;7254;5165;25;24;28
415586.576;5725080.593;523.179;20070611080353234;2403;2239;4814;8308;7692;5050;25;22;30
415629.596;5725077.890;522.384;20070611080352203;2884;2339;4822;7469;6723;5281;22;23;33
415670.791;5725075.291;521.508;20070611080351219;2694;2332;4900;8377;6948;4968;27;35;29
415712.139;5725072.649;520.515;20070611080350234;2620;2406;4899;8287;7128;5120;24;28;36
415754.947;5725069.896;519.309;20070611080349219;2483;2338;4767;7592;7331;5383;20;22;26
415798.306;5725067.103;518.157;20070611080348195;2526;2345;4802;7437;6376;4811;19;21;32
415839.843;5725064.472;517.436;20070611080347219;2266;2222;4962;7368;6574;5129;23;23;29
415883.847;5725061.724;517.124;20070611080346188;2244;2100;4817;7549;6556;4748;27;25;25
415926.871;5725059.093;516.963;20070611080345180;2298;2162;4890;7006;6519;4780;24;21;31
415968.229;5725056.634;516.849;20070611080344211;2445;2187;4938;7824;6767;4697;24;21;42
416011.904;5725054.113;516.798;20070611080343188;2376;2187;4945;7579;7428;4715;22;25;33
416053.550;5725051.749;516.921;20070611080342211;2202;2233;4885;7818;7409;4769;23;25;37
416095.507;5725049.479;517.129;20070611080341227;1886;1985;4978;6937;7730;4725;23;23;37
416139.410;5725047.456;517.328;20070611080340195;1850;1975;4904;7100;7602;4800;22;31;30
416180.601;5725045.959;517.344;20070611080339227;2006;2016;4882;7507;7012;5126;32;23;30
416224.394;5725044.647;517.261;20070611080338195;2046;2040;4868;7952;7235;4701;19;25;31
416265.826;5725043.611;517.169;20070611080337219;2068;2158;4809;6782;6529;5058;21;22;30
416308.575;5725042.759;517.259;20070611080336211;2353;2301;4900;7369;6640;5135;21;16;30
416349.663;5725042.129;517.444;20070611080335242;2014;1981;4907;7198;6832;5030;22;21;24
416392.991;5725041.763;517.592;20070611080334219;1765;2047;4998;6993;7235;4938;20;21;29
416433.947;5725041.837;517.730;20070611080333250;1773;1905;4977;7727;7449;4140;21;22;30
416477.183;5725042.336;517.895;20070611080332227;1785;1960;4844;7272;6881;5125;21;22;33
416521.350;5725043.315;518.048;20070611080331180;2084;2086;4798;6778;7692;4983;26;25;29
416562.115;5725044.688;518.106;20070611080330211;2152;2062;5018;7381;6730;4978;25;22;29
416605.399;5725046.528;518.292;20070611080329180;1776;1901;4917;7507;6762;4830;23;21;40
416645.956;5725048.665;518.518;20070611080328211;1720;1802;4960;7350;7305;5230;21;28;34
416688.073;5725051.348;518.748;20070611080327203;2250;2194;4939;7584;7306;5127;23;24;26
