"X";"Y";"Z";"time";"x1";"y1";"z1";"x2";"y2";"z2";"x3";"y3";"z3"
423502.777;5723726.837;510.356;20070611095033078;1993;2344;4693;6990;6798;5393;34;32;29
423498.692;5723773.159;508.785;20070611095032102;2507;2270;4569;7517;5543;4049;21;26;31
423494.586;5723821.903;507.593;20070611095031078;1975;2192;4565;7361;7072;4966;23;22;30
423490.767;5723868.555;507.289;20070611095030102;1867;1981;4772;6398;6053;4543;20;22;32
423487.012;5723917.609;507.212;20070611095029078;1590;2171;4684;6320;5884;4435;24;25;32
423483.768;5723964.202;507.482;20070611095028109;1498;2016;4718;6697;6336;4788;23;26;31
423480.725;5724011.693;507.678;20070611095027125;2186;2199;4634;6970;6816;4566;22;23;32
423478.026;5724058.985;507.970;20070611095026148;1807;2257;4697;6832;6669;4676;29;24;28
423475.674;5724108.649;509.272;20070611095025125;1496;2181;4644;5957;7387;4881;27;21;26
423473.744;5724155.333;510.660;20070611095024164;1493;1999;4668;6266;7273;4720;17;21;33
423471.668;5724205.776;511.735;20070611095023125;1766;2106;4656;6104;7232;4947;24;24;33
423469.746;5724252.680;512.500;20070611095022156;1943;2253;4727;7357;6992;4832;22;19;27
423467.842;5724303.623;513.124;20070611095021102;1551;2016;4728;7411;6896;4750;24;33;29
423466.265;5724350.268;513.714;20070611095020133;1852;2121;4653;7521;6762;5075;24;27;30
423464.772;5724399.774;514.653;20070611095019102;2120;2457;4694;7129;6514;5134;23;24;27
423463.654;5724446.531;515.712;20070611095018125;1756;2038;4805;6815;7215;4796;25;20;25
423462.865;5724493.913;516.399;20070611095017133;1288;2088;4669;6764;7191;5046;24;29;32
423462.359;5724543.719;517.006;20070611095016086;1390;1845;4618;6747;7189;4643;25;23;29
423462.263;5724589.497;517.554;20070611095015117;1607;2002;4641;7027;6679;4182;24;22;32
423462.418;5724637.455;518.305;20070611095014094;1681;1999;4717;6883;6645;4709;18;24;32
423462.899;5724682.483;518.569;20070611095013125;1782;1999;4554;6622;7057;5143;20;23;29
423463.905;5724730.119;518.020;20070611095012094;1426;1983;4646;7051;6016;5115;20;22;26
423465.042;5724775.356;517.322;20070611095011109;1934;2355;4719;6978;6993;4891;21;25;28
423466.210;5724822.163;517.053;20070611095010086;1296;1899;4659;6358;6189;4706;24;31;37
423467.473;5724866.698;516.901;20070611095009109;1555;2012;4594;8152;6508;5293;25;26;35
423468.990;5724910.797;516.552;20070611095008141;1416;2093;4731;7137;6471;5176;18;24;28
423470.838;5724958.012;516.366;20070611095007102;1759;2179;4743;6907;6275;5325;23;23;26
423472.532;5724999.844;516.315;20070611095006180;1876;2044;4616;6951;6974;5153;24;23;26
423474.542;5725046.566;516.194;20070611095005148;1734;2082;4657;7581;6977;4997;22;24;29
423476.695;5725090.314;515.594;20070611095004180;1439;1944;4687;6878;5903;4721;20;33;26
423479.350;5725137.057;514.529;20070611095003141;1584;1986;4612;6954;5685;4730;20;24;31
423482.184;5725182.299;513.497;20070611095002133;1394;1872;4841;6734;7239;5227;22;31;28
423485.416;5725227.824;512.675;20070611095001117;1610;1992;4655;6525;7306;4402;20;23;33
423489.003;5725271.999;511.397;20070611095000133;1417;2085;4683;7131;7003;5181;21;24;37
423493.065;5725317.979;510.177;20070611094959109;1362;2166;4683;6662;7091;4455;23;26;28
423497.420;5725364.101;509.451;20070611094958086;1405;1827;4657;6073;6950;5133;28;26;34
423501.532;5725408.366;508.841;20070611094957109;1627;1951;4615;7385;6296;5104;22;22;32
423505.347;5725451.828;508.618;20070611094956156;1610;2034;4666;7359;7760;5105;24;23;27
423509.237;5725498.794;508.768;20070611094955133;1524;2025;4684;6317;7672;4876;27;23;26
423512.499;5725546.132;509.551;20070611094954109;1537;1778;4760;6556;6512;5008;21;24;29
423514.475;5725591.184;510.548;20070611094953141;1590;1821;4734;6612;7821;4799;24;26;37
423515.327;5725639.354;511.471;20070611094952109;1795;2156;4705;6520;7067;5469;25;24;29
423514.987;5725686.176;512.020;20070611094951109;1490;1865;4781;7437;7310;5098;18;22;33
423513.666;5725731.698;513.286;20070611094950133;1894;1952;4637;6924;7105;5051;22;23;26
423511.832;5725779.593;513.884;20070611094949109;1741;2036;4680;6883;6199;4283;20;24;36
423510.045;5725824.904;514.111;20070611094948141;1975;1885;4766;6761;6755;5007;22;20;33
423508.261;5725873.149;514.019;20070611094947109;1607;2204;4813;6561;7126;5386;24;24;31
423506.830;5725917.108;513.989;20070611094946172;1658;2339;4717;7506;5803;4803;20;21;30
423505.562;5725965.116;514.683;20070611094945148;1655;2055;4673;6872;7266;5236;25;53;34
423504.453;5726010.532;516.061;20070611094944180;1624;1894;4632;6675;6019;4942;28;24;31
423503.340;5726059.238;517.807;20070611094943141;1797;2070;4721;7347;7071;5278;23;28;30
423502.646;5726104.256;519.675;20070611094942180;1384;1830;4646;6131;6897;5410;23;21;31
423502.269;5726152.841;521.682;20070611094941141;1383;1735;4628;5663;6406;5072;24;24;24
423502.113;5726197.647;523.518;20070611094940180;1735;2044;4777;6514;6086;4328;20;31;29
423501.941;5726245.564;525.261;20070611094939148;1930;2114;4803;7101;6802;5028;21;24;32
423501.758;5726292.923;526.181;20070611094938125;1948;2305;4718;7018;6332;5310;27;24;27
423501.493;5726337.949;526.324;20070611094937148;1526;1920;4710;6984;6289;5049;22;24;28
423501.010;5726383.253;526.232;20070611094936164;1546;2243;4759;6996;7426;4923;27;24;29
423500.305;5726430.731;525.856;20070611094935133;1817;2116;4598;7505;7020;5161;22;24;26
423499.579;5726475.312;525.618;20070611094934164;1860;2045;4725;6567;5603;4279;23;25;33
423497.668;5726569.191;526.782;20070611094932117;1701;1897;4725;7050;6667;4918;21;21;42
423495.931;5726614.061;528.101;20070611094931133;1807;1938;4766;6926;6690;4934;20;22;32
423493.786;5726657.958;528.938;20070611094930164;1547;1934;4716;5816;6747;5765;23;21;30
423491.012;5726704.394;529.412;20070611094929133;1761;2093;4665;7104;6774;5023;20;21;27
423487.933;5726749.855;529.116;20070611094928117;1937;2031;4578;6794;6597;4554;22;25;26
423484.910;5726793.368;527.794;20070611094927141;2697;2491;4768;7618;6164;5256;25;28;32
423482.005;5726838.932;526.753;20070611094926117;2825;2640;4499;8098;7069;4986;28;25;37
423479.607;5726882.055;526.056;20070611094925148;2026;2337;4557;7537;6289;5130;22;30;27
423477.330;5726927.252;526.286;20070611094924133;2252;2010;4665;7178;6549;4600;23;24;29
423475.421;5726970.458;527.276;20070611094923164;1959;1877;4714;7894;6962;4897;27;21;33
423473.595;5727016.178;527.968;20070611094922141;1884;2051;4754;7383;7636;4963;19;20;27
423471.792;5727061.682;528.237;20070611094921125;2056;1981;4685;7704;7065;4954;24;25;32
423469.948;5727105.578;528.464;20070611094920148;1771;2121;4678;7413;6972;4620;18;54;33
423467.864;5727151.305;528.782;20070611094919133;1897;2058;4752;7770;7460;4716;23;25;32
423465.642;5727195.370;528.417;20070611094918156;2114;2083;4790;7014;6219;4403;20;22;33
423463.209;5727242.684;527.374;20070611094917109;1676;2034;4645;7282;7040;4314;21;25;34
423460.902;5727286.566;526.075;20070611094916141;1509;1902;4668;7103;6752;4689;21;22;27
423458.311;5727332.982;524.793;20070611094915117;1558;2018;4729;6987;7285;5325;21;22;31
423455.618;5727376.825;524.148;20070611094914148;2350;2256;4578;7428;7499;4457;17;22;32
423452.699;5727423.047;523.903;20070611094913125;2279;2149;4702;7702;7169;5335;20;24;28
423450.022;5727469.138;523.364;20070611094912102;2049;2114;4842;7604;7446;5187;29;24;27
423447.843;5727513.781;522.427;20070611094911109;2274;2108;4641;6528;5462;4356;26;21;25
423445.966;5727559.869;521.428;20070611094910086;2326;2398;4673;7885;6831;5077;20;19;32
423444.390;5727603.479;520.916;20070611094909117;2302;2251;4700;7543;6998;5360;24;24;38
423442.807;5727649.545;520.619;20070611094908094;2280;2314;4727;7072;6461;5129;20;23;33
